path,target,run,pose,score
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed3_r2,8k3k_d_sample_1.cif,0.04082
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed3_r1,8k3k_d_sample_1.cif,0.07673
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed3_r0,8k3k_d_sample_2.cif,0.06336
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed3_r3,8k3k_d_sample_0.cif,0.03702
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed3_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed3_r1,8k3k_d_sample_0.cif,0.10558
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed4_r2,8k3k_d_sample_4.cif,0.04375
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed4_r3,8k3k_d_sample_1.cif,0.07104
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed4_r2,8k3k_d_sample_2.cif,0.05275
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed4_r1,8k3k_d_sample_0.cif,0.02553
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed4_r0,8k3k_d_sample_0.cif,0.02536
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed4_r1,8k3k_d_sample_1.cif,0.05776
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed4_r3,8k3k_d_sample_3.cif,0.04093
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed4_r1,8k3k_d_sample_3.cif,0.03116
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed4_r3,8k3k_d_sample_4.cif,0.04422
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed4_r0,8k3k_d_sample_3.cif,0.11351
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_3.cif,8k3k_D,seed4_r2,8k3k_d_sample_3.cif,0.09489
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed4_r0,8k3k_d_sample_1.cif,0.02897
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed4_r1,8k3k_d_sample_2.cif,0.03684
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_1.cif,8k3k_D,seed4_r2,8k3k_d_sample_1.cif,0.11593
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r2/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed4_r2,8k3k_d_sample_0.cif,0.04004
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed4_r0,8k3k_d_sample_2.cif,0.03083
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_2.cif,8k3k_D,seed4_r3,8k3k_d_sample_2.cif,0.10905
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r0/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed4_r0,8k3k_d_sample_4.cif,0.2045
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r3/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed4_r3,8k3k_d_sample_0.cif,0.11559
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed4_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_4.cif,8k3k_D,seed4_r1,8k3k_d_sample_4.cif,0.08312
/mnt/data/msadepth/compreps/seedrep_cand/protenix/8k3k_D/d57/seed5_r1/results/8k3k_d/seed_0/predictions/8k3k_d_sample_0.cif,8k3k_D,seed5_r1,8k3k_d_sample_0.cif,0.06776
