rank,zdock_score,dockq
462,639.435,0.023
463,639.433,0.032
464,639.326,0.014
465,639.301,0.02
466,639.147,0.02
467,639.133,0.021
468,638.939,0.012
469,638.837,0.026
470,638.684,0.017
471,638.308,0.019
472,637.859,0.014
473,637.76,0.021
474,637.735,0.007
475,637.587,0.013
476,637.321,0.009
477,637.299,0.012
478,637.118,0.013
479,636.919,0.01
480,636.777,0.014
481,636.688,0.009
482,636.484,0.008
483,636.217,0.012
484,636.161,0.013
485,635.97,0.01
486,635.853,0.013
487,635.507,0.018
488,635.418,0.017
489,635.32,0.017
490,635.193,0.012
491,635.034,0.015
492,634.987,0.01
493,634.911,0.009
494,634.805,0.012
495,634.788,0.01
496,634.679,0.053
497,634.264,0.008
498,634.229,0.01
499,634.071,0.012
500,633.578,0.02
501,633.26,0.018
502,632.86,0.007
503,632.804,0.017
504,632.721,0.009
505,632.616,0.03
506,632.436,0.008
507,632.332,0.009
508,632.187,0.009
509,631.899,0.011
510,631.63,0.013
511,631.573,0.007
512,631.52,0.015
513,631.474,0.02
514,631.303,0.014
515,631.166,0.015
516,631.028,0.01
517,630.799,0.012
518,630.247,0.009
519,630.224,0.011
520,629.964,0.009
521,629.866,0.01
522,629.165,0.015
523,629.072,0.015
524,628.942,0.017
525,628.822,0.008
526,628.564,0.01
527,628.036,0.013
528,627.558,0.016
529,627.422,0.014
530,627.217,0.015
531,627.133,0.012
532,627.105,0.015
533,626.991,0.008
534,626.851,0.026
535,626.843,0.012
536,626.78,0.013
537,625.766,0.019
538,625.697,0.007
539,625.661,0.015
540,625.469,0.014
541,625.44,0.037
542,625.068,0.009
543,624.963,0.013
544,624.75,0.01
545,624.502,0.013
546,624.479,0.017
547,624.319,0.008
548,624.241,0.012
549,624.058,0.015
550,623.82,0.016
551,623.663,0.029
552,623.578,0.012
553,623.424,0.011
554,623.317,0.01
555,623.121,0.013
556,623.015,0.012
557,622.972,0.008
558,622.778,0.015
559,622.607,0.013
560,622.412,0.008
561,622.259,0.02
562,622.196,0.01
563,622.058,0.016
564,622.047,0.015
565,621.777,0.013
566,621.745,0.016
567,621.64,0.009
568,621.572,0.007
569,621.538,0.011
570,621.389,0.034
571,621.166,0.008
572,621.055,0.007
573,620.981,0.007
574,620.677,0.011
575,620.66,0.008
576,620.608,0.016
577,620.549,0.006
578,620.234,0.019
579,619.403,0.007
580,619.383,0.01
581,619.328,0.009
582,619.143,0.01
583,618.779,0.016
584,618.529,0.007
585,618.336,0.012
586,618.319,0.021
587,618.268,0.025
588,618.201,0.021
589,618.013,0.015
590,617.783,0.01
591,617.688,0.009
592,617.687,0.015
593,617.472,0.009
594,617.46,0.012
595,617.065,0.019
596,616.981,0.007
597,616.933,0.014
598,616.879,0.013
599,616.756,0.017
600,616.743,0.008
601,616.724,0.007
602,616.707,0.015
603,616.671,0.029
604,616.366,0.007
605,616.364,0.016
606,616.257,0.025
607,616.248,0.02
608,616.049,0.034
609,615.985,0.008
610,615.97,0.01
611,615.799,0.019
612,615.633,0.007
613,615.559,0.026
614,615.446,0.033
615,615.306,0.009
616,614.505,0.018
617,614.224,0.022
618,614.155,0.008
619,614.031,0.011
620,614.018,0.012
621,614.014,0.016
622,613.932,0.012
623,613.867,0.014
624,613.643,0.011
625,613.299,0.015
626,613.268,0.018
627,612.901,0.016
628,612.864,0.024
629,612.66,0.01
630,612.142,0.017
631,612.093,0.01
632,611.999,0.037
633,611.822,0.01
634,611.513,0.02
635,611.379,0.02
636,611.2,0.009
637,610.963,0.008
638,610.859,0.086
639,610.76,0.021
640,610.752,0.017
641,610.509,0.011
642,610.274,0.014
643,610.123,0.027
644,610.037,0.012
645,609.937,0.013
646,609.864,0.009
647,609.744,0.014
648,609.618,0.019
649,609.354,0.014
650,609.313,0.012
651,608.995,0.007
652,608.92,0.026
653,608.427,0.01
654,608.341,0.012
655,608.038,0.019
656,608.036,0.013
657,607.964,0.013
658,607.94,0.007
659,607.629,0.016
660,607.337,0.008
661,607.288,0.015
662,607.218,0.009
663,607.063,0.029
664,607.036,0.016
665,606.952,0.009
666,606.79,0.061
667,606.559,0.009
668,606.398,0.02
669,606.373,0.008
670,606.263,0.031
671,606.262,0.009
672,606.173,0.01
673,606.168,0.009
674,606.062,0.006
675,605.99,0.011
676,605.906,0.011
677,605.813,0.013
678,605.717,0.013
679,605.716,0.013
680,605.673,0.012
681,605.665,0.013
682,605.664,0.009
683,605.54,0.011
684,605.383,0.016
685,605.273,0.011
686,605.032,0.01
687,604.967,0.023
688,604.887,0.019
689,604.766,0.012
690,604.631,0.019
691,604.611,0.014
692,604.392,0.012
693,604.34,0.01
694,604.294,0.01
695,604.112,0.015
696,604.1,0.008
697,603.958,0.008
698,603.814,0.012
699,603.591,0.01
700,603.124,0.01
701,603.096,0.008
702,602.803,0.012
703,602.776,0.016
704,602.716,0.013
705,602.43,0.021
706,602.325,0.017
707,602.237,0.017
708,601.765,0.01
709,601.708,0.013
710,601.589,0.01
